TABLE=091 | AREA=Xã Bù Gia Mập | RECORDS=15 | GROUPS=15 | REVIEW=15
ID=NQ28-091-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=560,480 | ROAD=91. Xã Bù Gia Mập Tên đường giao TT thông Giáp Đường ĐT 741 Ơ | START=Đoạn đường ranh xã Đắk Giáp ranh Lâm Đồng | END=Giá Giá thương đất mại ở vụ tỉnh 800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0002-01 | SEC=non-agricultural | TT=2 | REL=main | PRICES=520,440 | ROAD=Các tuyến đường Các trung tâm xã Bù Gia nội bộ Mập xã Bù | START=tuyến đường Trung tâm Gia Mập | END=740 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0003-01 | SEC=non-agricultural | TT=3 | REL=main | PRICES=420,360 | ROAD=Hết ranh Các tuyến đường Chu trung tâm xã Bù Gia (thửa Mập tờ bản | START=nhà ông Ngã ba Văn Dũng Đặng Thị đất số 62, (thửa đất đồ số 45) tờ bản | END=nhà bà Hon 600 số 208, đồ số 28) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0004-01 | SEC=non-agricultural | TT=4 | REL=main | PRICES=420,360 | ROAD=Ngã Đường ĐT 760B đường | START=Hết ranh ba tiếp giáp Phạm Ngọc ĐT 741 (thửa đất tờ bản | END=nhà ông Thảo 600 số 03, đồ số 28) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0005-01 | SEC=non-agricultural | TT=5 | REL=main | PRICES=560,480 | ROAD=Hết ranh Phạm Đường ĐT 760B (thửa tờ bản | START=nhà ông Hết ranh Ngọc Thảo vườn Quốc đất số 03, Bù Gia đồ số 28) | END=cổng gia 800 Mập | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0006-01 | SEC=non-agricultural | TT=6 | REL=main | PRICES=460,390 | ROAD=Hết ranh Đường ĐT 760B vườn Bù Gia | START=Hết ranh cổng ông Điểu Quốc gia (thửa đất Mập tờ bản | END=đất nhà Khên 650 số 62, đồ số 28) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=350,300 | ROAD=Đường ĐT 760B Hết ranh | START=nhà ông Đến nhà | END=ông 500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=330,280 | ROAD=Điểu đất số đồ số Nhà Thơm Đường ĐT 760B số 83, số 35) | START=Khên (thửa Điểu Thơm 62, tờ bản đất số 28) đồ số 35) Hết ranh ông Điểu ông Đào (thửa đất Sơn (thửa tờ bản đồ 234, tờ số 39) | END=(thửa 83, tờ bản đất nhà Đức đất số 470 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=330,280 | ROAD=Hết ranh Đào Đường ĐT 760B (thửa tờ bản | START=Hết ranh nhà ông ông Nguyễn Đức Sơn Công Mùi đất số 234, đất số đồ số 39) đồ số 44) | END=đất nhà (thửa 470 09, tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=230,200 | ROAD=Đường nhựa nối Đăk Đường Côn, Bù Rên | START=ĐT 741 Suối Đăk | END=Côn 340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=290,250 | ROAD=Đường nhựa thôn Đường Cầu Sắt | START=Nhà Lương Tuyến ĐT 741 Thửa đất tờ bản | END=Văn (hết ranh 420 số 191, đồ số 19) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=290,250 | ROAD=Từ ngã xăng Đường nhựa đi thôn Duyên Đăk A thửa tờ bản | START=ba cây Hoàng Hết ranh (hết ranh đất số đất số 440, đồ số 42 đồ số 39) | END=thửa 73, tờ bản 420 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=360,310 | ROAD=Các tuyến đường nội bộ trong Khu dân cư định canh, định cư Toàn cho đồng bào dân tộc thiểu số tại thôn Đắk | START=tuyến | END=510 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=230,200 | ROAD=Á Các tuyến Đường Toàn nhựa, bê tông còn lại | START=tuyến | END=340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-091-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=140,120 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
